seed,borrower_id,group_id,split
42,0,0,train
42,1,0,train
42,2,0,train
42,3,0,train
42,4,0,train
42,5,0,train
42,6,0,train
42,7,0,train
42,8,0,train
42,9,0,train
42,10,1,train
42,11,1,train
42,12,1,train
42,13,1,train
42,14,1,train
42,15,1,train
42,16,1,train
42,17,1,train
42,18,1,train
42,19,1,train
42,20,2,train
42,21,2,train
42,22,2,train
42,23,2,train
42,24,2,train
42,25,2,train
42,26,2,train
42,27,2,train
42,28,2,train
42,29,2,train
42,30,3,train
42,31,3,train
42,32,3,train
42,33,3,train
42,34,3,train
42,35,3,train
42,36,3,train
42,37,3,train
42,38,3,train
42,39,3,train
42,40,4,train
42,41,4,train
42,42,4,train
42,43,4,train
42,44,4,train
42,45,4,train
42,46,4,train
42,47,4,train
42,48,4,train
42,49,4,train
42,50,5,train
42,51,5,train
42,52,5,train
42,53,5,train
42,54,5,train
42,55,5,train
42,56,5,train
42,57,5,train
42,58,5,train
42,59,5,train
42,60,6,train
42,61,6,train
42,62,6,train
42,63,6,train
42,64,6,train
42,65,6,train
42,66,6,train
42,67,6,train
42,68,6,train
42,69,6,train
42,70,7,train
42,71,7,train
42,72,7,train
42,73,7,train
42,74,7,train
42,75,7,train
42,76,7,train
42,77,7,train
42,78,7,train
42,79,7,train
42,80,8,train
42,81,8,train
42,82,8,train
42,83,8,train
42,84,8,train
42,85,8,train
42,86,8,train
42,87,8,train
42,88,8,train
42,89,8,train
42,90,9,train
42,91,9,train
42,92,9,train
42,93,9,train
42,94,9,train
42,95,9,train
42,96,9,train
42,97,9,train
42,98,9,train
42,99,9,train
42,100,10,train
42,101,10,train
42,102,10,train
42,103,10,train
42,104,10,train
42,105,10,train
42,106,10,train
42,107,10,train
42,108,10,train
42,109,10,train
42,110,11,train
42,111,11,train
42,112,11,train
42,113,11,train
42,114,11,train
42,115,11,train
42,116,11,train
42,117,11,train
42,118,11,train
42,119,11,train
42,120,12,train
42,121,12,train
42,122,12,train
42,123,12,train
42,124,12,train
42,125,12,train
42,126,12,train
42,127,12,train
42,128,12,train
42,129,12,train
42,130,13,train
42,131,13,train
42,132,13,train
42,133,13,train
42,134,13,train
42,135,13,train
42,136,13,train
42,137,13,train
42,138,13,train
42,139,13,train
42,150,15,train
42,151,15,train
42,152,15,train
42,153,15,train
42,154,15,train
42,155,15,train
42,156,15,train
42,157,15,train
42,158,15,train
42,159,15,train
42,160,16,train
42,161,16,train
42,162,16,train
42,163,16,train
42,164,16,train
42,165,16,train
42,166,16,train
42,167,16,train
42,168,16,train
42,169,16,train
42,210,21,train
42,211,21,train
42,212,21,train
42,213,21,train
42,214,21,train
42,215,21,train
42,216,21,train
42,217,21,train
42,218,21,train
42,219,21,train
42,220,22,train
42,221,22,train
42,222,22,train
42,223,22,train
42,224,22,train
42,225,22,train
42,226,22,train
42,227,22,train
42,228,22,train
42,229,22,train
42,230,23,train
42,231,23,train
42,232,23,train
42,233,23,train
42,234,23,train
42,235,23,train
42,236,23,train
42,237,23,train
42,238,23,train
42,239,23,train
42,240,24,train
42,241,24,train
42,242,24,train
42,243,24,train
42,244,24,train
42,245,24,train
42,246,24,train
42,247,24,train
42,248,24,train
42,249,24,train
42,260,26,train
42,261,26,train
42,262,26,train
42,263,26,train
42,264,26,train
42,265,26,train
42,266,26,train
42,267,26,train
42,268,26,train
42,269,26,train
42,290,29,train
42,291,29,train
42,292,29,train
42,293,29,train
42,294,29,train
42,295,29,train
42,296,29,train
42,297,29,train
42,298,29,train
42,299,29,train
42,300,30,train
42,301,30,train
42,302,30,train
42,303,30,train
42,304,30,train
42,305,30,train
42,306,30,train
42,307,30,train
42,308,30,train
42,309,30,train
42,310,31,train
42,311,31,train
42,312,31,train
42,313,31,train
42,314,31,train
42,315,31,train
42,316,31,train
42,317,31,train
42,318,31,train
42,319,31,train
42,330,33,train
42,331,33,train
42,332,33,train
42,333,33,train
42,334,33,train
42,335,33,train
42,336,33,train
42,337,33,train
42,338,33,train
42,339,33,train
42,360,36,train
42,361,36,train
42,362,36,train
42,363,36,train
42,364,36,train
42,365,36,train
42,366,36,train
42,367,36,train
42,368,36,train
42,369,36,train
42,380,38,train
42,381,38,train
42,382,38,train
42,383,38,train
42,384,38,train
42,385,38,train
42,386,38,train
42,387,38,train
42,388,38,train
42,389,38,train
42,390,39,train
42,391,39,train
42,392,39,train
42,393,39,train
42,394,39,train
42,395,39,train
42,396,39,train
42,397,39,train
42,398,39,train
42,399,39,train
42,410,41,train
42,411,41,train
42,412,41,train
42,413,41,train
42,414,41,train
42,415,41,train
42,416,41,train
42,417,41,train
42,418,41,train
42,419,41,train
42,420,42,train
42,421,42,train
42,422,42,train
42,423,42,train
42,424,42,train
42,425,42,train
42,426,42,train
42,427,42,train
42,428,42,train
42,429,42,train
42,440,44,train
42,441,44,train
42,442,44,train
42,443,44,train
42,444,44,train
42,445,44,train
42,446,44,train
42,447,44,train
42,448,44,train
42,449,44,train
42,450,45,train
42,451,45,train
42,452,45,train
42,453,45,train
42,454,45,train
42,455,45,train
42,456,45,train
42,457,45,train
42,458,45,train
42,459,45,train
42,470,47,train
42,471,47,train
42,472,47,train
42,473,47,train
42,474,47,train
42,475,47,train
42,476,47,train
42,477,47,train
42,478,47,train
42,479,47,train
42,480,48,train
42,481,48,train
42,482,48,train
42,483,48,train
42,484,48,train
42,485,48,train
42,486,48,train
42,487,48,train
42,488,48,train
42,489,48,train
42,490,49,train
42,491,49,train
42,492,49,train
42,493,49,train
42,494,49,train
42,495,49,train
42,496,49,train
42,497,49,train
42,498,49,train
42,499,49,train
42,500,50,train
42,501,50,train
42,502,50,train
42,503,50,train
42,504,50,train
42,505,50,train
42,506,50,train
42,507,50,train
42,508,50,train
42,509,50,train
42,510,51,train
42,511,51,train
42,512,51,train
42,513,51,train
42,514,51,train
42,515,51,train
42,516,51,train
42,517,51,train
42,518,51,train
42,519,51,train
42,530,53,train
42,531,53,train
42,532,53,train
42,533,53,train
42,534,53,train
42,535,53,train
42,536,53,train
42,537,53,train
42,538,53,train
42,539,53,train
42,540,54,train
42,541,54,train
42,542,54,train
42,543,54,train
42,544,54,train
42,545,54,train
42,546,54,train
42,547,54,train
42,548,54,train
42,549,54,train
42,580,58,train
42,581,58,train
42,582,58,train
42,583,58,train
42,584,58,train
42,585,58,train
42,586,58,train
42,587,58,train
42,588,58,train
42,589,58,train
42,600,60,train
42,601,60,train
42,602,60,train
42,603,60,train
42,604,60,train
42,605,60,train
42,606,60,train
42,607,60,train
42,608,60,train
42,609,60,train
42,610,61,train
42,611,61,train
42,612,61,train
42,613,61,train
42,614,61,train
42,615,61,train
42,616,61,train
42,617,61,train
42,618,61,train
42,619,61,train
42,620,62,train
42,621,62,train
42,622,62,train
42,623,62,train
42,624,62,train
42,625,62,train
42,626,62,train
42,627,62,train
42,628,62,train
42,629,62,train
42,630,63,train
42,631,63,train
42,632,63,train
42,633,63,train
42,634,63,train
42,635,63,train
42,636,63,train
42,637,63,train
42,638,63,train
42,639,63,train
42,640,64,train
42,641,64,train
42,642,64,train
42,643,64,train
42,644,64,train
42,645,64,train
42,646,64,train
42,647,64,train
42,648,64,train
42,649,64,train
42,650,65,train
42,651,65,train
42,652,65,train
42,653,65,train
42,654,65,train
42,655,65,train
42,656,65,train
42,657,65,train
42,658,65,train
42,659,65,train
42,660,66,train
42,661,66,train
42,662,66,train
42,663,66,train
42,664,66,train
42,665,66,train
42,666,66,train
42,667,66,train
42,668,66,train
